PS,PW,MM,theta,t-color,t-in,t-out,IM,NC,K,p-shuf,max-iters,eps,a,g,seed,num_episodes,mean_total_reward,mean_steps_river,mean_path_length,mean_wallclock_time,mean20_total_reward,mean20_steps_river,mean20_path_length,mean20_wallclock_time
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,1.0,1,5131,90.37049308127071,0.09842136035860456,9.74371467550185,0.8016533207600633,88.35,0.25,10.4,0.8582655429840088
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.05,1.0,1.0,2,3780,68.71931216931218,2.117195767195767,13.225925925925926,1.1073378761609396,68.4,2.2,12.8,1.07560738325119
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,0.0,0,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,0.0,1,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,0.0,2,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,0.5,0,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,0.5,1,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,0.5,2,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,1.0,0,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,1.0,1,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,0.0,1.0,2,0,,,,,,,,
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,0.0,0,48,-74.64583333333333,1.4375,162.70833333333334,13.308082029223442,-62.9,0.0,163.9,13.375779592990876
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,0.0,1,34,-96.02941176470588,2.0294117647058822,178.76470588235293,14.41628757645102,-92.3,0.1,192.4,15.611098194122315
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,0.0,2,34,-95.70588235294117,2.2058823529411766,176.85294117647058,14.352311477941626,-87.15,0.15,186.8,15.249778485298156
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,0.5,0,6144,92.78694661458333,0.008463541666666666,8.136881510416666,0.6726881812792271,93.0,0.0,8.0,0.6602200269699097
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,0.5,1,5492,91.82010196649672,0.008557902403495994,9.102876911871814,0.743807600174867,92.0,0.0,9.0,0.7339899420738221
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,0.5,2,6129,92.77614619024311,0.007342143906020558,8.157774514602709,0.6858628814577142,93.0,0.0,8.0,0.702485716342926
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,1.0,0,5516,73.8952139231327,2.004532269760696,9.06399564902103,0.7267360261076166,74.0,2.0,9.0,0.7200857162475586
0.0,0.0,MCAR,0.05,,,,joint-conservative,1.0,10.0,0.1,50000.0,0.0,1.0,1.0,1,5512,91.8599419448476,0.007801161103047896,9.069847605224965,0.7238098944392709,92.0,0.0,9.0,0.7175705790519714
